Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Mining,South America,India,2011,208.62,161.59,2.25,46.55,7.01,7.15,183.04,10146.8,87.15,35.12,-5.7,-2.57
Manufacturing,Africa,China,2000,119.27,306.33,98.72,127.27,41.88,1.66,574.6,3148.38,39.83,17.4,-9.21,-4.98
Energy,Europe,China,2005,169.16,333.67,25.79,33.14,15.61,16.71,1148.53,22058.37,82.53,0.55,14.14,-3.0
Mining,Oceania,Australia,2012,163.39,990.42,77.56,16.11,41.72,10.67,1405.12,6917.99,55.63,11.25,9.05,-0.05
Mining,Oceania,India,2021,228.0,590.03,11.75,199.78,27.91,0.46,1080.06,15152.92,40.49,6.89,3.57,3.34
Mining,Asia,Germany,2001,257.15,777.67,22.11,2.21,26.89,12.2,340.75,11792.94,50.28,33.11,-0.5,6.5
Construction,Africa,South Africa,2017,199.03,555.6,50.59,118.29,30.17,12.44,1175.08,21921.33,28.43,31.91,0.91,5.05
Manufacturing,Oceania,Brazil,2016,293.95,983.17,70.39,2.79,21.04,13.54,866.95,997.39,85.78,41.65,6.41,-2.01
Mining,Africa,Canada,2018,248.57,177.79,34.61,110.39,5.59,11.95,655.75,10367.32,32.18,52.76,-3.84,9.86
Manufacturing,Oceania,USA,2022,37.83,605.07,87.34,20.07,29.33,5.41,326.97,6394.1,86.08,4.83,6.09,2.78
Construction,Asia,Canada,2014,152.49,797.48,94.03,157.53,21.14,19.98,1105.37,6469.85,24.24,54.75,-7.51,2.29
Mining,Europe,South Africa,2007,271.02,628.74,12.34,58.61,23.01,9.4,648.0,13292.22,23.4,75.83,14.6,-0.81
Construction,Asia,USA,2022,283.21,896.99,71.88,68.93,30.05,7.82,425.25,5979.47,88.73,64.24,0.89,-2.58
Construction,Oceania,India,2008,114.37,600.91,13.28,50.54,7.19,0.18,217.32,13057.75,65.13,5.03,1.32,8.13
Manufacturing,Africa,Canada,2007,217.85,826.53,34.14,22.87,12.05,11.42,945.58,3381.27,20.8,66.95,11.31,-4.85
Mining,North America,USA,2007,123.46,176.21,81.97,100.12,14.44,9.81,900.68,23117.39,66.73,22.78,8.64,1.4
Construction,Asia,Germany,2010,37.54,262.43,33.7,89.59,18.92,18.94,1465.4,20554.49,53.61,20.33,13.84,3.17
Mining,Africa,China,2017,265.44,444.35,90.75,107.93,4.96,6.46,1073.81,2204.18,67.66,8.4,-1.05,-4.39
Manufacturing,Asia,Brazil,2016,279.62,851.69,41.21,125.22,7.9,13.62,788.19,20308.66,76.61,74.22,5.5,-2.14
Construction,Oceania,USA,2021,151.67,426.85,31.05,17.82,12.83,12.64,520.35,19235.48,71.09,74.12,-3.72,-4.14
Manufacturing,Africa,USA,2022,5.98,627.65,98.91,82.76,34.77,15.83,1071.32,1725.98,96.06,43.75,-9.56,9.81
Mining,Europe,Canada,2005,244.9,396.11,44.21,118.55,33.56,15.93,478.2,12358.36,64.93,10.42,6.63,5.59
Mining,Africa,India,2022,143.35,805.82,74.12,64.7,0.56,0.17,405.58,3825.25,55.82,32.09,2.81,5.6
Manufacturing,South America,India,2001,22.97,200.69,59.99,38.36,3.63,17.38,1207.54,1390.16,46.51,8.01,6.65,7.33
Energy,North America,Australia,2000,57.22,593.97,20.33,121.3,25.0,2.45,426.57,16797.27,34.81,92.25,9.23,7.14
Construction,Oceania,China,2009,46.06,578.1,50.08,143.71,21.31,1.15,216.97,11523.54,71.75,93.46,12.42,-3.05
Mining,Africa,Brazil,2007,206.04,403.54,7.83,150.14,14.78,16.16,274.77,14331.28,64.08,80.69,-3.05,8.47
Mining,Oceania,Australia,2015,90.17,705.28,70.9,65.19,25.08,1.79,820.8,3598.24,68.38,12.89,14.88,-2.94
Construction,Asia,Australia,2013,38.74,28.96,51.94,19.88,10.08,1.0,1200.82,10563.24,93.64,16.16,12.54,9.03
Manufacturing,Asia,USA,2015,275.34,841.58,12.33,183.12,6.84,4.92,347.49,3200.63,90.01,69.25,1.57,-4.49
Manufacturing,Africa,China,2013,286.98,348.29,76.7,137.59,3.58,10.52,900.62,12581.06,46.54,45.13,12.07,4.98
Manufacturing,South America,Canada,2006,42.0,793.13,80.48,189.69,3.68,17.42,48.44,10149.43,28.63,17.73,2.59,-3.09
Energy,Africa,Canada,2017,69.46,305.41,73.41,29.2,9.96,18.37,677.48,24595.53,51.05,25.45,9.73,7.25
Energy,Europe,Canada,2019,177.84,188.31,32.97,131.48,39.57,9.12,181.32,484.37,66.97,54.02,8.54,1.2
Mining,South America,Brazil,2008,45.58,389.79,72.34,39.35,40.15,11.85,1472.68,7411.0,42.09,36.56,6.08,1.7
Manufacturing,Oceania,China,2003,48.0,797.47,57.81,173.3,45.63,18.49,636.23,15287.65,43.93,51.87,6.45,1.29
Construction,Africa,USA,2015,101.3,703.67,54.43,103.95,33.1,15.5,271.21,15545.94,83.26,83.7,-0.03,2.43
Mining,Oceania,Canada,2021,284.78,401.33,64.91,106.58,18.86,12.48,1138.04,13899.98,78.64,0.03,-2.93,-4.49
Construction,North America,India,2010,288.75,937.9,63.05,186.15,6.52,4.97,302.28,21457.51,75.63,6.25,2.22,6.53
Mining,South America,India,2008,252.62,409.07,79.93,60.88,11.03,9.47,22.63,18663.98,56.65,1.07,-2.62,9.16
Energy,Africa,India,2016,208.87,351.08,98.6,123.84,22.04,17.2,572.81,23308.67,55.6,48.73,6.37,3.98
Mining,North America,Germany,2021,216.34,145.15,72.66,28.95,12.54,6.29,924.88,16933.62,21.11,80.74,-0.05,-0.45
Energy,Africa,China,2010,141.14,70.74,44.23,72.7,15.82,2.99,437.83,6571.6,59.11,22.48,4.75,-2.28
Mining,Europe,Canada,2019,159.28,350.23,46.22,39.03,47.21,3.17,638.73,14186.09,21.73,22.19,-0.18,0.53
Manufacturing,Asia,USA,2002,190.52,92.46,3.03,40.34,19.36,15.47,440.77,19046.29,64.21,34.02,-1.67,4.72
Construction,Oceania,China,2020,219.52,462.9,16.07,132.25,7.74,3.38,1327.22,20755.62,20.77,13.86,1.21,0.95
Manufacturing,Africa,India,2010,29.51,860.08,22.89,57.37,17.37,0.99,368.49,2238.98,65.79,2.9,-7.94,7.12
Mining,South America,South Africa,2007,67.85,476.38,99.03,50.28,2.01,17.1,190.06,11128.2,36.08,61.54,2.82,9.1
Mining,Africa,South Africa,2009,288.9,480.84,76.33,161.62,30.87,18.68,559.25,5795.62,91.67,95.61,-1.16,-1.45
Mining,Africa,Canada,2005,100.88,253.81,14.24,94.82,36.06,19.73,488.97,20699.11,76.02,89.85,-4.91,-2.48
Energy,Africa,China,2016,80.91,166.71,49.89,76.06,20.23,7.37,885.6,1746.71,57.71,2.19,-0.51,1.2
Construction,Africa,Canada,2005,126.86,222.72,21.43,163.05,27.61,18.2,1108.67,9086.29,65.3,56.2,9.59,4.83
Construction,South America,Brazil,2006,87.63,568.2,29.83,97.79,43.71,3.17,1264.49,2983.96,56.59,22.17,3.23,6.04
Mining,South America,South Africa,2012,27.81,592.0,60.5,163.01,10.36,19.86,967.96,16519.05,47.26,4.6,4.37,-1.54
Mining,Africa,South Africa,2005,62.78,220.58,59.94,63.76,8.32,0.44,1485.76,230.91,30.89,82.53,10.07,-1.38
Energy,Asia,China,2002,192.23,399.22,87.19,192.39,13.01,6.99,895.11,20972.19,81.7,59.34,-5.0,3.16
Manufacturing,Africa,Australia,2012,67.34,568.9,16.54,184.74,11.05,14.92,24.61,12858.87,54.17,73.35,0.2,0.35
Manufacturing,Oceania,Germany,2009,194.48,760.58,49.79,164.74,43.78,12.08,235.19,10303.42,87.36,31.13,-8.94,-0.51
Construction,Oceania,Germany,2003,30.47,320.11,59.92,42.63,2.38,8.06,531.48,9265.86,78.94,90.21,10.06,2.82
Energy,South America,India,2004,13.04,271.72,93.05,145.53,4.31,1.65,490.53,8025.69,50.25,57.64,6.36,7.51
Mining,Oceania,Canada,2020,258.54,730.6,51.69,163.54,47.04,19.05,457.05,7759.69,75.74,68.55,-0.39,2.71
Construction,Oceania,USA,2018,228.13,514.06,34.13,72.74,19.68,17.09,988.53,23723.2,74.83,55.13,0.58,8.66
Energy,Europe,Australia,2017,199.98,856.82,29.28,28.15,24.82,1.6,427.54,11506.57,61.6,91.88,14.28,-3.16
Manufacturing,Africa,Canada,2006,9.75,211.4,21.69,54.0,29.05,15.08,508.18,2195.43,77.27,38.0,-5.09,8.47
Energy,Africa,Brazil,2020,72.19,771.06,96.24,117.16,39.14,3.41,1366.68,11611.18,44.46,89.4,4.09,9.16
Manufacturing,Africa,Canada,2000,243.79,162.45,60.33,50.43,35.63,19.28,1414.65,18188.61,52.12,60.32,13.64,8.56
Energy,Africa,Australia,2016,43.83,584.98,30.42,132.36,18.69,1.42,4.51,14470.97,23.0,85.41,-4.38,-2.44
Construction,North America,Canada,2019,243.95,283.99,74.54,78.43,40.11,3.75,709.38,20941.3,35.48,72.11,-5.6,-1.59
Manufacturing,Africa,USA,2019,175.48,101.54,29.0,45.19,37.35,15.48,592.88,9394.97,79.07,44.01,10.42,4.34
Construction,South America,USA,2017,222.24,616.96,50.43,122.66,43.96,0.44,737.56,22114.33,82.42,10.25,0.08,8.37
Construction,South America,Brazil,2004,193.53,507.05,2.7,14.85,12.67,17.54,1437.45,16830.88,86.21,38.76,-5.24,-4.83
Manufacturing,North America,Germany,2021,125.39,486.24,84.67,125.0,4.84,5.3,1077.18,13739.11,98.35,95.35,1.23,6.99
Manufacturing,Africa,Australia,2005,87.95,592.72,95.66,194.88,5.38,17.24,1435.38,18761.31,93.71,78.96,14.78,3.66
Mining,Asia,Canada,2009,201.98,372.75,86.59,142.31,27.28,9.49,525.86,2041.26,55.95,7.48,-3.08,0.19
Mining,Africa,South Africa,2018,242.17,670.33,17.19,65.68,13.17,1.23,225.57,6362.55,96.38,4.42,8.54,5.67
Mining,South America,India,2009,13.9,131.28,82.54,180.27,2.34,10.85,984.43,9365.47,66.55,7.18,-7.96,2.74
Construction,Europe,China,2005,114.28,715.11,34.77,105.62,41.86,14.46,843.4,15331.66,28.93,5.54,7.26,-2.39
Construction,Oceania,Germany,2009,105.54,580.02,93.63,105.73,43.14,10.75,1277.99,3967.38,83.31,95.93,10.24,-4.01
Mining,Europe,India,2009,168.06,486.73,29.98,75.73,18.41,18.02,1311.69,24714.68,64.35,75.19,1.24,1.95
Construction,Asia,South Africa,2020,34.62,128.09,9.03,10.54,6.65,15.08,598.86,23640.77,51.09,95.14,9.1,3.56
Construction,Africa,Germany,2011,280.06,278.63,85.31,54.06,12.51,2.57,1271.51,10907.65,80.46,17.58,10.45,0.47
Manufacturing,North America,Australia,2003,164.78,295.65,11.75,163.68,33.91,1.02,480.71,22393.13,66.09,50.35,0.25,-0.41
Manufacturing,Africa,Brazil,2012,277.16,234.2,54.19,52.02,34.42,7.3,307.87,21803.55,86.58,61.28,5.6,0.2
Construction,Asia,USA,2009,245.17,954.2,37.66,82.53,35.12,14.11,693.3,9233.27,72.9,96.74,-5.59,8.81
Mining,Asia,Brazil,2015,57.9,915.68,75.71,126.83,42.77,17.16,1253.81,13589.4,79.53,49.72,14.35,-4.61
Energy,Oceania,South Africa,2018,40.14,546.36,74.92,56.56,44.21,17.23,707.38,1045.02,51.04,15.32,-7.46,0.9
Mining,Asia,China,2005,258.44,206.07,77.64,162.39,49.47,1.45,697.87,12777.68,85.11,76.42,4.9,6.15
Energy,Europe,Canada,2008,161.06,911.18,6.42,179.75,17.73,16.13,85.15,12741.56,26.28,7.13,2.2,-1.49
Mining,Oceania,Brazil,2013,6.41,749.53,85.85,12.43,45.64,5.83,164.22,20859.02,82.06,22.1,-0.93,0.67
Manufacturing,Africa,South Africa,2009,280.3,39.25,46.69,114.96,32.13,18.38,684.46,1845.68,94.7,88.67,-2.88,2.95
Construction,Africa,USA,2007,142.17,490.97,22.0,69.95,6.21,9.98,726.95,15101.96,40.74,95.68,4.9,9.2
Construction,North America,Germany,2002,90.63,605.14,29.96,110.91,29.7,3.11,145.91,20646.34,88.06,97.47,13.45,3.52
Manufacturing,Asia,India,2016,155.22,66.94,90.28,109.41,19.01,19.86,131.63,10342.99,58.4,20.58,4.5,6.94
Energy,Asia,South Africa,2018,246.96,50.31,0.7,2.1,3.78,4.17,911.01,13976.35,98.89,54.05,-4.31,-1.32
Energy,South America,South Africa,2002,33.53,463.79,80.19,129.73,12.43,5.55,811.75,16402.4,92.49,44.47,0.84,0.7
Energy,Oceania,Australia,2013,108.0,2.45,92.4,43.26,35.68,10.62,1097.92,1566.03,87.87,69.39,0.12,-2.95
Manufacturing,South America,China,2005,96.0,47.31,25.08,111.87,17.46,0.63,1067.02,11365.34,66.06,48.55,4.4,3.83
Energy,Oceania,Germany,2018,251.98,165.56,82.22,179.09,32.31,16.54,426.2,5750.98,99.42,57.66,-5.57,6.68
Manufacturing,Europe,South Africa,2017,233.65,910.02,16.19,38.54,45.45,9.09,997.03,22840.46,29.49,54.81,14.45,-1.32
Mining,Oceania,South Africa,2011,120.33,766.4,1.72,54.11,29.56,7.09,857.85,23573.92,42.72,18.62,-2.6,-0.12
Mining,Africa,India,2014,199.51,450.7,60.5,12.82,47.66,8.86,14.5,19101.69,89.66,85.2,-9.72,8.07
Manufacturing,North America,Canada,2005,118.64,479.47,64.66,98.4,17.23,19.39,634.15,3125.35,44.87,7.92,-4.89,-4.93
Construction,Oceania,USA,2020,171.61,686.18,15.1,174.03,43.83,9.9,1042.71,24942.53,73.65,20.55,2.56,3.87
Mining,Oceania,Brazil,2011,297.37,474.65,51.3,109.01,48.18,15.08,1365.76,1256.05,89.79,39.83,7.37,2.78
Energy,Oceania,Australia,2018,160.9,64.39,38.61,70.56,25.95,0.4,190.57,23412.95,83.28,18.72,8.11,4.81
Manufacturing,North America,Germany,2006,296.58,738.86,7.72,181.17,18.25,15.13,322.6,5777.86,80.97,32.43,10.87,1.81
Energy,Asia,India,2022,224.29,58.22,50.82,106.5,17.61,1.99,1139.44,5472.73,88.39,96.22,12.67,-0.8
Energy,North America,India,2019,36.66,486.35,58.56,194.74,21.27,15.89,137.94,13891.3,37.01,3.81,-8.38,1.98
Construction,Asia,Brazil,2009,238.89,861.78,21.8,150.07,33.07,18.38,39.0,14634.66,20.68,76.04,3.47,-0.65
Energy,Africa,Germany,2017,48.81,117.82,74.0,182.28,21.99,4.76,490.08,12565.52,84.48,21.14,3.28,-3.38
Construction,North America,Germany,2001,159.93,706.77,7.35,129.7,38.17,5.62,472.49,21387.53,77.31,27.9,10.5,-2.26
Mining,Asia,Australia,2012,184.17,46.8,55.14,197.87,34.55,16.18,723.55,180.3,90.8,71.22,4.06,1.16
Manufacturing,Africa,USA,2014,267.72,993.06,30.41,105.13,16.33,15.72,374.97,7199.42,42.78,4.06,-5.48,2.33
Energy,Africa,Germany,2003,63.52,682.25,43.66,128.16,40.31,15.88,13.42,19425.04,98.18,23.16,-3.09,5.32
Manufacturing,Asia,Australia,2006,262.84,969.01,89.36,26.93,37.92,16.18,1371.37,13425.83,29.18,12.07,-1.73,4.73
Energy,Asia,South Africa,2002,280.38,668.39,67.03,187.35,30.94,6.97,1466.14,3916.62,33.18,55.67,7.25,1.61
Manufacturing,Europe,Brazil,2015,27.3,242.66,14.97,67.06,9.42,19.01,1489.35,11102.87,61.18,84.41,-2.62,5.68
Energy,Africa,Germany,2008,265.64,926.4,88.64,133.04,25.36,17.98,1454.36,1195.21,77.64,76.21,-2.35,8.0
Energy,Asia,Canada,2022,78.12,626.86,37.35,72.17,22.69,2.64,1226.34,4817.5,58.14,29.99,-0.54,1.01
Energy,Africa,Canada,2022,24.76,576.15,34.19,177.05,1.09,0.94,872.12,16535.01,64.99,88.22,4.93,0.55
Energy,North America,USA,2016,287.59,429.4,50.2,22.16,49.58,18.37,786.94,4054.73,39.43,46.56,1.91,9.97
Energy,South America,India,2007,117.96,284.95,20.61,180.31,35.44,4.37,94.16,13611.57,41.73,91.94,11.29,0.46
Energy,South America,South Africa,2017,187.08,530.3,91.43,125.18,18.56,14.85,1321.35,13486.51,85.92,7.95,4.19,7.63
Energy,Oceania,Germany,2012,166.09,366.37,46.84,191.31,28.89,13.28,344.57,2761.2,41.43,84.19,6.28,4.89
Energy,Asia,Brazil,2001,64.35,854.1,39.44,100.77,44.54,14.53,1112.8,23347.83,56.49,33.52,5.72,4.83
Energy,Asia,Germany,2000,201.03,29.28,17.18,98.7,1.99,12.39,1046.32,15530.38,95.66,63.07,8.17,3.7
Manufacturing,Africa,Australia,2015,14.31,530.33,80.29,71.82,13.01,5.8,1127.42,20518.29,37.81,69.79,10.97,8.25
Construction,Oceania,China,2015,61.33,836.65,95.29,65.87,47.4,11.92,188.41,13386.92,65.72,19.95,2.67,-3.62
Energy,Asia,Canada,2010,283.43,28.09,86.97,24.75,0.88,10.69,664.13,18836.27,83.87,47.53,-8.83,0.56
Construction,Africa,USA,2003,286.08,282.66,16.23,65.53,29.1,6.2,1062.2,13362.13,61.27,47.4,-7.44,0.29
Energy,Asia,India,2010,145.06,52.0,75.19,121.86,26.87,7.03,20.99,12729.63,83.27,54.56,-3.81,-4.56
Energy,Africa,China,2005,51.14,595.21,20.5,16.97,49.0,12.98,621.98,4361.8,68.56,67.3,13.08,-0.87
Manufacturing,Asia,Brazil,2010,126.78,317.08,3.98,37.27,21.56,16.73,481.05,794.79,39.69,45.51,7.18,7.6
Mining,Europe,Germany,2000,263.18,959.75,48.5,172.0,48.79,11.93,1210.34,6042.67,54.55,0.32,-5.81,-3.62
Mining,Africa,USA,2008,21.55,616.49,67.07,18.35,0.68,8.81,780.2,4603.38,88.36,30.62,0.74,9.95
Manufacturing,Europe,South Africa,2006,38.8,562.02,12.52,48.33,17.04,2.54,853.02,16593.97,59.16,99.05,11.66,3.81
Construction,Europe,Australia,2020,268.75,917.28,60.59,0.86,13.53,0.46,123.98,4744.39,78.73,35.79,10.75,5.87
Mining,Europe,Australia,2021,124.91,223.96,84.38,143.79,7.4,1.85,253.91,3208.38,84.76,70.81,13.36,8.6
Manufacturing,Europe,Germany,2002,25.5,562.46,20.98,170.18,49.79,1.46,1124.09,21404.47,65.9,79.96,-0.2,-0.39
Manufacturing,North America,Canada,2008,42.19,543.01,42.84,175.92,48.61,3.38,742.51,7617.76,65.23,51.61,13.76,2.82
Mining,Oceania,Germany,2001,264.79,82.57,49.93,180.05,7.29,18.09,243.21,21356.39,23.46,10.39,-4.25,5.2
Construction,South America,Germany,2009,147.29,932.09,83.14,80.79,26.21,3.1,7.42,20047.31,62.44,94.19,0.81,7.02
Manufacturing,North America,South Africa,2016,49.32,700.38,77.16,111.95,4.86,3.95,536.15,20514.51,40.84,33.94,9.35,5.25
Energy,Asia,Germany,2000,268.27,888.16,76.96,135.58,6.28,12.29,494.86,4483.6,42.02,57.9,9.36,9.5
Construction,Asia,USA,2017,253.66,982.55,67.94,182.94,35.49,10.82,573.55,623.53,24.65,20.88,6.31,-1.21
Construction,Oceania,South Africa,2005,7.4,479.91,61.82,159.31,43.37,16.74,33.07,7899.91,37.26,95.19,11.16,9.57
Mining,South America,South Africa,2005,174.51,803.76,50.94,97.87,30.28,4.67,1377.89,20568.97,75.98,59.73,5.43,4.08
Mining,South America,Canada,2008,73.68,577.77,37.02,101.99,5.72,9.72,609.19,24602.33,90.9,45.34,1.85,8.49
Energy,South America,China,2009,160.17,977.13,51.37,67.33,41.31,2.27,1107.69,11909.96,54.61,57.97,-6.92,-2.58
Manufacturing,Europe,Brazil,2014,84.14,247.6,85.39,2.43,43.17,11.79,298.76,4302.64,53.74,84.54,-8.38,0.51
Mining,North America,South Africa,2003,95.1,14.31,57.1,28.96,28.05,12.09,31.18,6218.84,81.99,17.2,1.31,-1.73
Mining,Asia,China,2007,180.75,186.35,98.56,66.4,20.9,16.97,1097.85,21441.06,24.97,75.47,12.26,4.7
Construction,North America,USA,2003,161.89,128.45,14.34,121.22,20.45,6.67,1352.54,2865.29,94.04,4.19,5.58,-4.8
Mining,North America,Brazil,2002,118.86,437.23,44.17,142.84,33.08,6.03,851.27,8281.51,24.87,48.31,-7.92,-2.82
Mining,North America,South Africa,2003,32.72,77.87,20.11,178.21,45.77,19.05,253.74,20913.5,31.59,68.28,3.45,1.18
Mining,South America,India,2000,290.84,220.59,36.57,110.95,45.4,9.06,1045.9,6854.06,33.09,48.09,1.96,2.7
Mining,Oceania,China,2008,52.79,96.72,79.0,78.89,39.27,5.86,1414.83,13933.32,90.8,80.34,10.58,2.03
Construction,Oceania,USA,2010,190.12,487.01,82.49,138.31,17.76,12.16,1449.5,6466.66,66.02,86.85,0.41,9.41
Energy,South America,USA,2020,25.28,267.14,3.27,78.43,20.21,2.95,780.74,1483.08,66.37,86.15,-5.94,8.57
Energy,Asia,USA,2022,206.65,471.27,95.34,21.78,36.38,7.79,1273.28,8507.08,91.23,36.91,14.97,6.94
Manufacturing,Asia,Australia,2018,28.9,89.34,87.2,0.92,34.66,9.23,1134.86,400.75,85.3,70.07,9.55,3.03
Mining,Asia,Brazil,2020,69.24,517.11,90.51,141.71,45.92,17.68,551.01,22967.33,99.54,1.91,-9.71,3.27
Construction,Oceania,Canada,2019,194.27,130.5,37.74,179.83,39.63,14.56,611.38,3836.99,84.73,8.27,14.37,-0.92
Manufacturing,Oceania,Germany,2006,85.24,99.8,49.75,135.65,48.93,7.88,618.32,15333.67,68.94,49.04,4.38,5.31
Manufacturing,North America,India,2004,160.09,310.36,16.93,5.61,11.15,9.36,70.26,23920.49,24.74,38.1,-7.25,4.57
Energy,South America,Brazil,2001,37.79,874.48,39.74,43.96,46.14,18.85,977.73,23026.57,36.23,15.05,-0.36,1.73
Construction,Europe,Brazil,2018,61.12,788.63,12.7,189.28,48.71,16.76,841.27,2672.22,75.05,26.61,-9.59,2.01
Construction,North America,Canada,2002,220.27,959.17,86.34,141.97,45.27,2.44,1137.24,18707.69,67.24,57.18,1.52,6.75
Construction,Africa,Canada,2014,11.02,460.47,58.15,147.52,7.14,7.24,499.63,10123.93,32.52,7.63,-6.0,5.32
Energy,Oceania,South Africa,2006,33.98,312.79,13.68,161.28,47.08,9.31,75.35,2040.6,47.81,81.1,-8.59,-4.08
Energy,North America,Australia,2004,64.88,970.92,87.92,182.53,37.91,4.12,825.84,17293.32,95.3,43.75,10.25,-3.17
Energy,South America,China,2022,6.55,382.08,8.13,87.9,18.15,2.66,1232.3,23035.2,75.76,67.55,-8.64,8.24
Energy,Africa,India,2009,29.07,9.6,92.7,86.09,22.82,6.42,1255.69,4949.3,37.58,86.28,3.62,1.95
Energy,North America,USA,2008,84.78,820.2,10.66,4.72,3.34,13.27,1199.74,3288.34,80.65,21.1,9.1,2.74
Mining,South America,Brazil,2022,28.33,169.63,71.83,187.44,20.68,19.18,838.43,7395.18,26.29,66.29,10.82,6.38
Mining,South America,India,2013,259.9,718.05,64.57,26.19,12.44,19.51,1098.8,3889.07,86.22,17.01,10.85,5.49
Construction,Oceania,China,2021,20.29,15.61,78.29,90.19,36.0,17.53,181.41,4860.12,96.09,12.52,0.46,-0.17
Manufacturing,Europe,Germany,2012,258.36,111.43,56.52,120.05,28.29,14.24,290.83,10259.21,71.08,25.73,-6.45,5.21
Construction,North America,India,2000,246.95,483.82,35.06,198.74,46.71,1.59,1458.0,2805.9,33.84,8.56,0.18,7.19
Manufacturing,South America,Australia,2015,30.68,68.36,27.51,79.92,30.99,0.42,620.59,2175.7,22.76,53.9,-7.82,9.11
Energy,Asia,Australia,2019,8.04,888.69,94.55,133.78,38.92,0.57,603.42,11340.02,68.71,83.06,9.31,2.84
Manufacturing,South America,USA,2007,15.47,749.99,44.18,190.54,40.65,2.09,116.36,9947.31,29.45,23.45,3.72,5.34
Construction,Europe,Australia,2016,177.32,328.52,84.24,114.34,3.46,9.33,672.73,18706.16,97.13,86.71,11.19,8.21
Construction,South America,Brazil,2005,201.27,597.72,72.33,106.92,41.06,0.47,988.48,19088.23,66.04,12.22,2.37,3.91
Manufacturing,Oceania,Germany,2001,186.39,715.67,65.65,114.65,8.28,7.17,1110.75,12943.56,53.81,6.88,9.68,7.62
Mining,North America,Canada,2012,162.67,755.52,97.06,163.59,11.09,19.04,559.18,21349.1,20.48,23.67,-2.01,6.08
Energy,Oceania,China,2007,52.82,395.98,56.59,8.61,25.14,11.26,1433.01,2364.48,76.65,95.82,-7.61,0.32
Energy,North America,USA,2008,252.37,898.85,73.33,152.05,23.36,12.16,692.21,2908.65,70.53,57.41,9.82,7.12
Construction,Africa,Canada,2012,98.6,941.81,84.98,34.53,47.69,9.86,730.36,11269.13,55.79,59.74,-9.97,0.66
Mining,North America,Germany,2017,295.86,196.12,4.69,153.47,22.37,19.63,988.84,23581.85,90.86,82.45,4.04,1.31
Manufacturing,Africa,South Africa,2017,115.76,911.28,99.63,160.03,21.09,3.42,184.08,13243.03,52.77,60.66,9.1,6.3
Energy,Oceania,South Africa,2008,79.27,712.82,26.29,125.27,41.05,19.51,1002.05,9661.81,39.19,59.62,-4.42,5.15
Mining,Asia,China,2001,268.33,888.19,70.28,87.88,14.76,9.39,545.93,4953.82,73.01,2.59,-6.75,-0.13
Energy,Europe,USA,2003,170.44,425.04,95.37,146.53,39.97,18.51,42.73,24334.65,93.21,76.64,-2.81,-3.52
Mining,Asia,Australia,2017,216.69,661.37,76.34,3.91,12.35,12.85,1168.99,8659.88,98.03,37.23,-4.28,9.48
Mining,Africa,Brazil,2016,122.82,235.76,23.04,129.78,20.32,4.13,1409.02,6804.88,20.32,61.97,-5.86,4.41
Construction,South America,China,2011,266.13,751.23,36.3,46.54,45.67,15.94,862.19,9484.54,46.74,58.13,3.46,7.36
Energy,South America,Australia,2015,275.36,581.94,41.48,132.12,23.69,2.75,544.87,15655.92,57.84,91.8,2.85,-4.8
Manufacturing,Asia,Germany,2012,131.31,481.2,58.68,27.64,46.55,16.26,1044.8,1535.84,79.12,72.01,5.11,-2.74
Construction,South America,USA,2010,72.6,692.84,60.33,35.99,18.96,0.8,1357.6,2887.56,51.02,4.28,6.61,0.66
Construction,Africa,South Africa,2013,194.48,552.57,78.81,90.42,4.47,2.94,472.82,24708.66,63.69,57.4,11.38,-4.47
Manufacturing,Oceania,South Africa,2009,286.4,765.47,85.98,106.04,38.17,7.25,841.74,9241.28,51.05,7.14,-3.78,0.48
Construction,Europe,India,2022,186.92,858.51,9.04,83.32,12.48,1.4,361.32,14178.38,23.57,35.55,14.8,9.46
Mining,North America,USA,2020,286.29,800.71,27.39,122.26,37.45,16.39,963.72,9268.5,58.42,56.68,7.89,2.34
Mining,Africa,Germany,2018,103.47,307.85,34.43,10.79,28.85,9.08,1185.81,115.82,93.63,40.68,2.23,-2.92
Energy,Africa,Germany,2020,274.57,976.13,1.44,38.74,48.73,12.42,320.86,18793.15,53.97,26.65,-4.98,3.61
Energy,North America,India,2016,34.21,649.92,41.82,0.83,21.35,2.11,832.24,11990.65,66.05,12.44,-7.71,6.31
Manufacturing,North America,Australia,2008,107.97,323.8,35.94,113.26,44.75,0.24,268.37,12145.15,21.95,0.58,6.55,5.0
Energy,Europe,Germany,2013,148.59,43.06,52.59,138.16,36.22,19.63,710.98,12943.47,82.7,54.89,-7.95,3.72
Mining,Europe,Australia,2004,196.11,988.1,10.11,96.77,7.35,2.97,1013.41,4997.27,95.26,87.09,9.63,2.28
Manufacturing,Europe,Australia,2002,88.59,599.22,41.46,92.3,35.64,16.62,49.55,20634.51,99.1,22.59,2.43,4.08
